num,id,x,y,is_inf
-1,4355578113,60.6032211,56.8271852,True
0,4407072628,60.7474274,56.8971249,False
1,498758689,60.7966418,56.9074916,False
2,413975940,60.8201122,56.7705556,False
3,4031737287,60.7344821,56.7615269,False
4,5978085670,60.5783652,56.8336786,False
5,412050735,60.6325468,56.8012903,False
6,413756281,60.6124001,56.9109253,False
7,1618698271,60.6005532,56.7682802,False
8,4268057432,60.477965,56.7852796,False
9,1278930831,60.5080698,56.8984816,False
10,4227738502,60.803652,56.910477,False
11,740705346,60.5951722,56.8262221,False
12,1099570153,60.8546748,56.9102478,False
13,1195280674,60.6095179,56.8278676,False
14,1778188039,60.5805819,56.8969957,False
